epoch;acc;loss;val_acc;val_loss
0;0.7886;0.43395344720840456;0.85356;0.33894878901004794
1;0.8806;0.28672345243215563;0.85536;0.34619018096923826
2;0.9056;0.2384865326499939;0.84884;0.3458087635755539
3;0.9282;0.19573065199375153;0.85;0.3552785427951813
4;0.94396;0.15635091613650323;0.84956;0.41929257524967195
0;0.79356;0.42796593571662905;0.85688;0.3297454606056213
1;0.88076;0.28863816492557526;0.85012;0.34854751854896543
2;0.9026;0.24306136645555496;0.85332;0.3399495913648605
3;0.92368;0.19954268926143645;0.84424;0.38961049817562105
4;0.94016;0.16212698712110518;0.8472;0.41744168207883836
0;0.79368;0.4240043082666397;0.85228;0.33474855251789093
1;0.8814;0.28582609708309176;0.8554;0.33102657285690307
2;0.90576;0.2407953282737732;0.8518;0.34582654084920883
3;0.92508;0.19726777850389482;0.8298;0.3947219617557526
4;0.94108;0.16167976583719254;0.84356;0.4177385699892044
0;0.79604;0.41992607467651366;0.84384;0.35368847450256347
1;0.88208;0.2896080183410645;0.85584;0.33421631889820097
2;0.90624;0.23874297832846642;0.85152;0.38002655720710754
3;0.92656;0.19511030599355697;0.84024;0.3731092248773575
4;0.941;0.16036561911821365;0.84712;0.40680550621509554
0;0.79316;0.4219719253063202;0.85492;0.33535502276897433
1;0.88472;0.2841326428592205;0.8468;0.3477482581424713
2;0.90648;0.2356496832370758;0.85436;0.34459946733474733
3;0.92452;0.19508802385807036;0.84708;0.3760852567577362
4;0.94336;0.15497148674368857;0.84528;0.45457843923568725
0;0.79516;0.42013554599761965;0.85216;0.3382653441619873
1;0.88216;0.286702732796669;0.85724;0.33218110505104065
2;0.90584;0.23746698952674866;0.85092;0.3568973906993866
3;0.9278;0.1940199636030197;0.85064;0.37517140145778655
4;0.94264;0.1604214603203535;0.84812;0.4121314138507843
0;0.78908;0.44208812371730805;0.84996;0.3446156226062775
1;0.8806;0.2895586461806297;0.85228;0.33862954970359804
2;0.90476;0.2401231306052208;0.85392;0.3435486326932907
3;0.92548;0.1995326900959015;0.85224;0.36156012231349943
4;0.94264;0.15884420278072356;0.8488;0.4040871015286446
0;0.78836;0.42407494729995726;0.85068;0.3520259207725525
1;0.87984;0.28677457671642304;0.85468;0.3604119046890736
2;0.90472;0.24069439308643342;0.85008;0.3473292883110046
3;0.9262;0.1952180940759182;0.8462;0.419414188170433
4;0.94188;0.16098632379770278;0.84592;0.4119919762182236
